2024.07.29 18:56:52 INFO  Started: Metals version 1.3.4 in folders '/home/seeker/Develop/ysyx-workbench/ysyxSoC' for client Visual Studio Code 1.91.1.
SLF4J(W): Class path contains multiple SLF4J providers.
SLF4J(W): Found provider [scribe.slf4j.ScribeServiceProvider@42a9d40b]
SLF4J(W): Found provider [ch.qos.logback.classic.spi.LogbackServiceProvider@8a4caca]
SLF4J(W): See https://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J(I): Actual provider is of type [scribe.slf4j.ScribeServiceProvider@42a9d40b]
2024.07.29 18:56:53 WARN  Flyway upgrade recommended: H2 2.3.230 is newer than this version of Flyway and support has not been tested. The latest supported version of H2 is 2.2.220.
2024.07.29 18:56:57 INFO  running '/home/seeker/Develop/ysyx-workbench/ysyxSoC/.metals/millw --import ivy:com.lihaoyi::mill-contrib-bloop: mill.contrib.bloop.Bloop/install'
2024.07.29 18:56:57 INFO  No mill version specified.
2024.07.29 18:56:57 INFO  You should provide a version via '.mill-version' file or --mill-version option.
2024.07.29 18:56:57 INFO  Retrieving latest mill version ...
2024.07.29 18:57:07 INFO  Falling back to hardcoded mill version 0.11.4
2024.07.29 18:57:07 INFO  Downloading mill 0.11.4 from https://repo1.maven.org/maven2/com/lihaoyi/mill-dist/0.11.4/mill-dist-0.11.4.jar ...
2024.07.29 18:57:07 INFO    % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
2024.07.29 18:58:16 INFO    2 58.7M    2 1745k    0     0  25957      0  0:39:31  0:01:08  0:38:23 17357
2024.07.29 18:58:18 INFO    2 58.7M    2 1756k    0     0  25763      0  0:39:49  0:01:09  0:38:40 15633
2024.07.29 18:58:18 INFO    2 58.7M    2 1772k    0     0  25544      0  0:40:09  0:01:11  0:38:58 15294
2024.07.29 18:58:21 INFO    2 58.7M    2 1786k    0     0  25427      0  0:40:20  0:01:11  0:39:09 15864
2024.07.29 18:58:21 INFO    3 58.7M    3 1811k    0     0  25357      0  0:40:27  0:01:13  0:39:14 16720
2024.07.29 18:58:22 INFO    3 58.7M    3 1823k    0     0  25232      0  0:40:39  0:01:14  0:39:25 15532
2024.07.29 18:58:22 INFO    3 58.7M    3 1832k    0     0  25002      0  0:41:02  0:01:15  0:39:47 14802
2024.07.29 18:58:25 INFO    3 58.7M    3 1836k    0     0  24753      0  0:41:26  0:01:15  0:40:11 13324
2024.07.29 18:58:25 INFO    3 58.7M    3 1844k    0     0  24499      0  0:41:52  0:01:17  0:40:35 11453
2024.07.29 18:58:26 INFO    3 58.7M    3 1857k    0     0  24420      0  0:42:00  0:01:17  0:40:43 10000
2024.07.29 18:58:26 INFO    3 58.7M    3 1867k    0     0  24202      0  0:42:23  0:01:18  0:41:05  8890
2024.07.29 18:58:29 INFO    3 58.7M    3 1877k    0     0  24044      0  0:42:40  0:01:19  0:41:21  9506
2024.07.29 18:58:29 INFO    3 58.7M    3 1900k    0     0  24001      0  0:42:44  0:01:21  0:41:23 12825
2024.07.29 18:58:30 INFO    3 58.7M    3 1912k    0     0  23913      0  0:42:54  0:01:21  0:41:33 14508
2024.07.29 18:58:30 INFO    3 58.7M    3 1933k    0     0  23855      0  0:43:00  0:01:23  0:41:37 15260
2024.07.29 18:58:32 INFO    3 58.7M    3 1941k    0     0  23692      0  0:43:18  0:01:23  0:41:55 15528
2024.07.29 18:58:33 INFO    3 58.7M    3 1955k    0     0  23607      0  0:43:27  0:01:24  0:42:03 16420
2024.07.29 18:58:35 INFO    3 58.7M    3 1977k    0     0  23589      0  0:43:29  0:01:25  0:42:04 16601
2024.07.29 18:58:35 INFO    3 58.7M    3 2003k    0     0  23523      0  0:43:36  0:01:27  0:42:09 17513
2024.07.29 18:58:37 INFO    3 58.7M    3 2019k    0     0  23498      0  0:43:39  0:01:28  0:42:11 17581
2024.07.29 18:58:37 INFO    3 58.7M    3 2042k    0     0  23464      0  0:43:43  0:01:29  0:42:14 19804
2024.07.29 18:58:38 INFO    3 58.7M    3 2051k    0     0  23309      0  0:44:00  0:01:30  0:42:30 18515
2024.07.29 18:58:39 INFO    3 58.7M    3 2063k    0     0  23260      0  0:44:06  0:01:30  0:42:36 17596
2024.07.29 18:58:39 INFO    3 58.7M    3 2081k    0     0  23202      0  0:44:13  0:01:31  0:42:42 17189
2024.07.29 18:58:42 INFO    3 58.7M    3 2089k    0     0  23046      0  0:44:31  0:01:32  0:42:59 14781
2024.07.29 18:58:42 INFO    3 58.7M    3 2106k    0     0  22911      0  0:44:46  0:01:34  0:43:12 13075
2024.07.29 18:58:43 INFO    3 58.7M    3 2115k    0     0  22773      0  0:45:03  0:01:35  0:43:28 13110
2024.07.29 18:58:43 INFO    3 58.7M    3 2125k    0     0  22671      0  0:45:15  0:01:36  0:43:39 12354
2024.07.29 18:58:45 INFO    3 58.7M    3 2140k    0     0  22638      0  0:45:19  0:01:36  0:43:43 12229
2024.07.29 18:58:45 INFO    3 58.7M    3 2152k    0     0  22518      0  0:45:33  0:01:37  0:43:56 12763
2024.07.29 18:58:47 INFO    3 58.7M    3 2183k    0     0  22619      0  0:45:21  0:01:38  0:43:43 16725
2024.07.29 18:58:47 INFO    3 58.7M    3 2202k    0     0  22546      0  0:45:30  0:01:40  0:43:50 18133
2024.07.29 18:58:49 INFO    3 58.7M    3 2238k    0     0  22714      0  0:45:10  0:01:40  0:43:30 23549
2024.07.29 18:58:49 INFO    3 58.7M    3 2260k    0     0  22724      0  0:45:08  0:01:41  0:43:27 24381
2024.07.29 18:58:51 INFO    3 58.7M    3 2284k    0     0  22742      0  0:45:06  0:01:42  0:43:24 27122
2024.07.29 18:58:53 INFO    3 58.7M    3 2317k    0     0  22860      0  0:44:52  0:01:43  0:43:09 27634
2024.07.29 18:58:53 INFO    3 58.7M    3 2353k    0     0  22898      0  0:44:48  0:01:45  0:43:03 29628
2024.07.29 18:58:55 INFO    3 58.7M    3 2373k    0     0  22929      0  0:44:44  0:01:46  0:42:58 27223
2024.07.29 18:58:55 INFO    4 58.7M    4 2421k    0     0  23090      0  0:44:25  0:01:47  0:42:38 29847
2024.07.29 18:58:56 INFO    4 58.7M    4 2443k    0     0  23099      0  0:44:24  0:01:48  0:42:36 29846
2024.07.29 18:58:57 INFO    4 58.7M    4 2452k    0     0  23073      0  0:44:27  0:01:48  0:42:39 27476
2024.07.29 18:58:59 INFO    4 58.7M    4 2484k    0     0  23135      0  0:44:20  0:01:49  0:42:31 28443
2024.07.29 18:58:59 INFO    4 58.7M    4 2516k    0     0  23181      0  0:44:15  0:01:51  0:42:24 28353
2024.07.29 18:59:00 INFO    4 58.7M    4 2541k    0     0  23213      0  0:44:11  0:01:52  0:42:19 25999
2024.07.29 18:59:01 INFO    4 58.7M    4 2556k    0     0  23160      0  0:44:17  0:01:53  0:42:24 24558
2024.07.29 18:59:01 INFO    4 58.7M    4 2571k    0     0  23089      0  0:44:26  0:01:54  0:42:32 23412
2024.07.29 18:59:03 INFO    4 58.7M    4 2576k    0     0  22952      0  0:44:42  0:01:54  0:42:48 18919
2024.07.29 18:59:05 INFO    4 58.7M    4 2586k    0     0  22863      0  0:44:52  0:01:55  0:42:57 15280
2024.07.29 18:59:05 INFO    4 58.7M    4 2605k    0     0  22780      0  0:45:02  0:01:57  0:43:05 13091
2024.07.29 18:59:06 INFO    4 58.7M    4 2623k    0     0  22794      0  0:45:00  0:01:57  0:43:03 14186
2024.07.29 18:59:08 INFO    4 58.7M    4 2668k    0     0  22976      0  0:44:39  0:01:58  0:42:41 20347
2024.07.29 18:59:09 INFO    4 58.7M    4 2721k    0     0  23207      0  0:44:12  0:02:00  0:42:12 28937
2024.07.29 18:59:10 INFO    4 58.7M    4 2748k    0     0  23237      0  0:44:09  0:02:01  0:42:08 31425
2024.07.29 18:59:10 INFO    4 58.7M    4 2786k    0     0  23343      0  0:43:57  0:02:02  0:41:55 36209
2024.07.29 18:59:12 INFO    4 58.7M    4 2827k    0     0  23526      0  0:43:36  0:02:03  0:41:33 40082
2024.07.29 18:59:12 INFO    4 58.7M    4 2876k    0     0  23739      0  0:43:13  0:02:04  0:41:09 41319
2024.07.29 18:59:13 INFO    4 58.7M    4 2899k    0     0  23774      0  0:43:09  0:02:04  0:41:05 37948
2024.07.29 18:59:14 INFO    4 58.7M    4 2952k    0     0  24025      0  0:42:42  0:02:05  0:40:37 44212
2024.07.29 18:59:16 INFO    4 58.7M    4 2989k    0     0  24095      0  0:42:34  0:02:07  0:40:27 43215
2024.07.29 18:59:16 INFO    5 58.7M    5 3019k    0     0  24140      0  0:42:30  0:02:08  0:40:22 39211
2024.07.29 18:59:17 INFO    5 58.7M    5 3057k    0     0  24298      0  0:42:13  0:02:08  0:40:05 38783
2024.07.29 18:59:17 INFO    5 58.7M    5 3096k    0     0  24409      0  0:42:01  0:02:09  0:39:52 40188
2024.07.29 18:59:19 INFO    5 58.7M    5 3129k    0     0  24496      0  0:41:52  0:02:10  0:39:42 36388
2024.07.29 18:59:21 INFO    5 58.7M    5 3176k    0     0  24666      0  0:41:35  0:02:11  0:39:24 39759
2024.07.29 18:59:21 INFO    5 58.7M    5 3215k    0     0  24739      0  0:41:28  0:02:13  0:39:15 40012
2024.07.29 18:59:22 INFO    5 58.7M    5 3240k    0     0  24786      0  0:41:23  0:02:13  0:39:10 37347
2024.07.29 18:59:23 INFO    5 58.7M    5 3287k    0     0  24961      0  0:41:06  0:02:14  0:38:52 39438
2024.07.29 18:59:23 INFO    5 58.7M    5 3305k    0     0  24906      0  0:41:11  0:02:15  0:38:56 35469
2024.07.29 18:59:25 INFO    5 58.7M    5 3335k    0     0  24951      0  0:41:07  0:02:16  0:38:51 32439
2024.07.29 18:59:26 INFO    5 58.7M    5 3374k    0     0  25073      0  0:40:55  0:02:17  0:38:38 34456
2024.07.29 18:59:27 INFO    5 58.7M    5 3419k    0     0  25186      0  0:40:44  0:02:19  0:38:25 35551
2024.07.29 18:59:29 INFO    5 58.7M    5 3464k    0     0  25332      0  0:40:30  0:02:20  0:38:10 34991
2024.07.29 18:59:29 INFO    5 58.7M    5 3527k    0     0  25562      0  0:40:08  0:02:21  0:37:47 42080
2024.07.29 18:59:30 INFO    5 58.7M    5 3562k    0     0  25693      0  0:39:55  0:02:21  0:37:34 45541
2024.07.29 18:59:32 INFO    6 58.7M    6 3610k    0     0  25848      0  0:39:41  0:02:23  0:37:18 46422
2024.07.29 18:59:32 INFO    6 58.7M    6 3624k    0     0  25746      0  0:39:50  0:02:24  0:37:26 40962
2024.07.29 18:59:34 INFO    6 58.7M    6 3641k    0     0  25724      0  0:39:52  0:02:24  0:37:28 36852
2024.07.29 18:59:34 INFO    6 58.7M    6 3664k    0     0  25632      0  0:40:01  0:02:26  0:37:35 27580
2024.07.29 18:59:35 INFO    6 58.7M    6 3672k    0     0  25582      0  0:40:06  0:02:27  0:37:39 22441
2024.07.29 18:59:35 INFO    6 58.7M    6 3694k    0     0  25574      0  0:40:07  0:02:27  0:37:40 17634
2024.07.29 18:59:37 INFO    6 58.7M    6 3717k    0     0  25575      0  0:40:06  0:02:28  0:37:38 20355
2024.07.29 18:59:39 INFO    6 58.7M    6 3758k    0     0  25649      0  0:39:59  0:02:30  0:37:29 23543
2024.07.29 18:59:39 INFO    6 58.7M    6 3774k    0     0  25578      0  0:40:06  0:02:31  0:37:35 23907
2024.07.29 18:59:40 INFO    6 58.7M    6 3781k    0     0  25473      0  0:40:16  0:02:32  0:37:44 22273
2024.07.29 18:59:42 INFO    6 58.7M    6 3791k    0     0  25398      0  0:40:23  0:02:32  0:37:51 20083
2024.07.29 18:59:42 INFO    6 58.7M    6 3802k    0     0  25269      0  0:40:36  0:02:34  0:38:02 16538
2024.07.29 18:59:43 INFO    6 58.7M    6 3813k    0     0  25207      0  0:40:42  0:02:34  0:38:08 11519
2024.07.29 18:59:44 INFO    6 58.7M    6 3822k    0     0  25121      0  0:40:50  0:02:35  0:38:15 10418
2024.07.29 18:59:45 INFO    6 58.7M    6 3843k    0     0  25088      0  0:40:53  0:02:36  0:38:17 12980
2024.07.29 18:59:47 INFO    6 58.7M    6 3868k    0     0  25087      0  0:40:53  0:02:37  0:38:16 15687
2024.07.29 18:59:48 INFO    6 58.7M    6 3911k    0     0  25173      0  0:40:45  0:02:39  0:38:06 22229
2024.07.29 18:59:48 INFO    6 58.7M    6 3931k    0     0  25112      0  0:40:51  0:02:40  0:38:11 22402
2024.07.29 18:59:49 INFO    6 58.7M    6 3941k    0     0  25045      0  0:40:57  0:02:41  0:38:16 22820
2024.07.29 18:59:51 INFO    6 58.7M    6 3952k    0     0  25000      0  0:41:02  0:02:41  0:38:21 22270
2024.07.29 18:59:51 INFO    6 58.7M    6 3979k    0     0  24937      0  0:41:08  0:02:43  0:38:25 20621
2024.07.29 18:59:52 INFO    6 58.7M    6 3987k    0     0  24895      0  0:41:12  0:02:44  0:38:28 15901
2024.07.29 18:59:52 INFO    6 58.7M    6 4020k    0     0  24973      0  0:41:04  0:02:44  0:38:20 20008
2024.07.29 18:59:54 INFO    6 58.7M    6 4063k    0     0  25094      0  0:40:53  0:02:45  0:38:08 26775
2024.07.29 18:59:55 INFO    6 58.7M    6 4107k    0     0  25211      0  0:40:41  0:02:46  0:37:55 32114
2024.07.29 18:59:56 INFO    6 58.7M    6 4163k    0     0  25401      0  0:40:23  0:02:47  0:37:36 42523
2024.07.29 18:59:57 INFO    7 58.7M    7 4232k    0     0  25671      0  0:39:57  0:02:48  0:37:09 51989
2024.07.29 18:59:57 INFO    7 58.7M    7 4314k    0     0  25999      0  0:39:27  0:02:49  0:36:38 59417
2024.07.29 18:59:59 INFO    7 58.7M    7 4408k    0     0  26425      0  0:38:49  0:02:50  0:35:59 70641
2024.07.29 18:59:59 INFO    7 58.7M    7 4447k    0     0  26497      0  0:38:43  0:02:51  0:35:52 68776
2024.07.29 19:00:01 INFO    7 58.7M    7 4480k    0     0  26546      0  0:38:38  0:02:52  0:35:46 65031
2024.07.29 19:00:03 INFO    7 58.7M    7 4511k    0     0  26573      0  0:38:36  0:02:53  0:35:43 56879
2024.07.29 19:00:04 INFO    7 58.7M    7 4574k    0     0  26758      0  0:38:20  0:02:55  0:35:25 51786
2024.07.29 19:00:04 INFO    7 58.7M    7 4608k    0     0  26797      0  0:38:17  0:02:56  0:35:21 38810
2024.07.29 19:00:05 INFO    7 58.7M    7 4632k    0     0  26815      0  0:38:15  0:02:56  0:35:19 37728
2024.07.29 19:00:06 INFO    7 58.7M    7 4662k    0     0  26849      0  0:38:12  0:02:57  0:35:15 37280
2024.07.29 19:00:08 INFO    7 58.7M    7 4688k    0     0  26838      0  0:38:13  0:02:58  0:35:15 35988
2024.07.29 19:00:08 INFO    7 58.7M    7 4713k    0     0  26801      0  0:38:16  0:03:00  0:35:16 28309
2024.07.29 19:00:09 INFO    7 58.7M    7 4732k    0     0  26773      0  0:38:19  0:03:01  0:35:18 25909
2024.07.29 19:00:10 INFO    7 58.7M    7 4748k    0     0  26743      0  0:38:21  0:03:01  0:35:20 24140
2024.07.29 19:00:12 INFO    7 58.7M    7 4785k    0     0  26797      0  0:38:17  0:03:02  0:35:15 24968
2024.07.29 19:00:12 INFO    8 58.7M    8 4831k    0     0  26880      0  0:38:10  0:03:04  0:35:06 28324
2024.07.29 19:00:13 INFO    8 58.7M    8 4859k    0     0  26903      0  0:38:08  0:03:04  0:35:04 30684
2024.07.29 19:00:13 INFO    8 58.7M    8 4886k    0     0  26922      0  0:38:06  0:03:05  0:35:01 32482
2024.07.29 19:00:15 INFO    8 58.7M    8 4929k    0     0  27018      0  0:37:58  0:03:06  0:34:52 36967
2024.07.29 19:00:15 INFO    8 58.7M    8 4965k    0     0  27050      0  0:37:55  0:03:07  0:34:48 36129
2024.07.29 19:00:17 INFO    8 58.7M    8 4991k    0     0  27062      0  0:37:54  0:03:08  0:34:46 34074
2024.07.29 19:00:18 INFO    8 58.7M    8 5025k    0     0  27078      0  0:37:53  0:03:10  0:34:43 33441
2024.07.29 19:00:18 INFO    8 58.7M    8 5042k    0     0  27030      0  0:37:57  0:03:11  0:34:46 30908
2024.07.29 19:00:21 INFO    8 58.7M    8 5055k    0     0  26980      0  0:38:01  0:03:11  0:34:50 25571
2024.07.29 19:00:21 INFO    8 58.7M    8 5060k    0     0  26809      0  0:38:16  0:03:13  0:35:03 18294
2024.07.29 19:00:22 INFO    8 58.7M    8 5061k    0     0  26742      0  0:38:21  0:03:13  0:35:08 14572
2024.07.29 19:00:24 INFO    8 58.7M    8 5072k    0     0  26657      0  0:38:29  0:03:14  0:35:15 10045
2024.07.29 19:00:24 INFO    8 58.7M    8 5082k    0     0  26500      0  0:38:42  0:03:16  0:35:26  7594
2024.07.29 19:00:25 INFO    8 58.7M    8 5083k    0     0  26414      0  0:38:50  0:03:17  0:35:33  5649
2024.07.29 19:00:27 INFO    8 58.7M    8 5089k    0     0  26343      0  0:38:56  0:03:17  0:35:39  6512
2024.07.29 19:00:27 INFO    8 58.7M    8 5092k    0     0  26187      0  0:39:10  0:03:19  0:35:51  5854
2024.07.29 19:00:28 INFO    8 58.7M    8 5097k    0     0  26090      0  0:39:19  0:03:20  0:35:59  4880
2024.07.29 19:00:29 INFO    8 58.7M    8 5105k    0     0  26033      0  0:39:24  0:03:20  0:36:04  5305
2024.07.29 19:00:30 INFO    8 58.7M    8 5129k    0     0  26025      0  0:39:25  0:03:21  0:36:04  9901
2024.07.29 19:00:31 INFO    8 58.7M    8 5147k    0     0  25977      0  0:39:29  0:03:22  0:36:07 11772
2024.07.29 19:00:32 INFO    8 58.7M    8 5151k    0     0  25870      0  0:39:39  0:03:23  0:36:16 12745
2024.07.29 19:00:32 INFO    8 58.7M    8 5183k    0     0  25893      0  0:39:37  0:03:24  0:36:13 17839
2024.07.29 19:00:34 INFO    8 58.7M    8 5210k    0     0  25916      0  0:39:35  0:03:25  0:36:10 21270
2024.07.29 19:00:35 INFO    8 58.7M    8 5242k    0     0  25956      0  0:39:31  0:03:26  0:36:05 23175
2024.07.29 19:00:36 INFO    8 58.7M    8 5268k    0     0  25954      0  0:39:31  0:03:27  0:36:04 24989
